mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7199942111968994,0.0960399539585312,0.0058463096618652345,0.007188778749391164,,{'classifier__max_depth': None},0.8261550509005482,0.8104933437744715,0.829153605015674,0.8409090909090909,0.8221003134796239,0.8257622808158818,0.009875541983239403,3,0.9449559255631733,0.9441723800195886,0.9426165295730513,0.9433999216607912,0.945554249902076,0.9441398013437361,0.001052194247129494
0.06249833106994629,0.009882720949306088,0.0031249523162841797,0.006249904632568359,5,{'classifier__max_depth': 5},0.860610806577917,0.8519968676585747,0.8487460815047022,0.8518808777429467,0.8432601880877743,0.8512989643143831,0.005633386770293132,2,0.853281096963761,0.8552399608227228,0.8564433999216607,0.854289071680376,0.8578143360752056,0.8554135730927452,0.0015916221462970812
0.07812461853027344,0.009881137745346606,0.00625004768371582,0.007654713849925503,10,{'classifier__max_depth': 10},0.8613938919342208,0.8519968676585747,0.85423197492163,0.8518808777429467,0.8448275862068966,0.8528662396928537,0.0053091012655329,1,0.8683643486777669,0.8681684622918707,0.8687818253035644,0.8656482569526048,0.8713278495887191,0.8684581485629052,0.0018071058643983984
