mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__metric,param_classifier__n_neighbors,param_classifier__p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.005723333358764649,0.007059466586957418,0.24012484550476074,0.03130095496393666,cosine,3,1,"{'classifier__metric': 'cosine', 'classifier__n_neighbors': 3, 'classifier__p': 1}",0.8238057948316366,0.8465152701644479,0.8589341692789969,0.8550156739811913,0.8495297805642633,0.8467601377641071,0.012255559247952708,49,0.8726738491674828,0.8838393731635651,0.8826870348609479,0.882491186839013,0.8826870348609479,0.8808756957783913,0.004128568308341384
0.008307743072509765,0.005855695950073897,0.23336524963378907,0.031194430407639136,cosine,3,2,"{'classifier__metric': 'cosine', 'classifier__n_neighbors': 3, 'classifier__p': 2}",0.8238057948316366,0.8465152701644479,0.8589341692789969,0.8550156739811913,0.8495297805642633,0.8467601377641071,0.012255559247952708,49,0.8726738491674828,0.8838393731635651,0.8826870348609479,0.882491186839013,0.8826870348609479,0.8808756957783913,0.004128568308341384
0.00944523811340332,0.007342447534813556,0.2597541809082031,0.07887514080250745,cosine,3,3,"{'classifier__metric': 'cosine', 'classifier__n_neighbors': 3, 'classifier__p': 3}",0.8238057948316366,0.8465152701644479,0.8589341692789969,0.8550156739811913,0.8495297805642633,0.8467601377641071,0.012255559247952708,49,0.8726738491674828,0.8838393731635651,0.8826870348609479,0.882491186839013,0.8826870348609479,0.8808756957783913,0.004128568308341384
0.006350517272949219,0.007779380951377195,0.25696964263916017,0.02253076824027456,cosine,5,1,"{'classifier__metric': 'cosine', 'classifier__n_neighbors': 5, 'classifier__p': 1}",0.8449490994518403,0.8480814408770556,0.8557993730407524,0.8550156739811913,0.8487460815047022,0.8505183337711083,0.004200265246589335,43,0.8738491674828599,0.8732615083251714,0.8744614179396788,0.872698785742264,0.8764198981590285,0.8741381555298006,0.0012833283141587986
0.007510757446289063,0.006839104381778659,0.23826971054077148,0.012666094082637858,cosine,5,2,"{'classifier__metric': 'cosine', 'classifier__n_neighbors': 5, 'classifier__p': 2}",0.8449490994518403,0.8480814408770556,0.8557993730407524,0.8550156739811913,0.8487460815047022,0.8505183337711083,0.004200265246589335,43,0.8738491674828599,0.8732615083251714,0.8744614179396788,0.872698785742264,0.8764198981590285,0.8741381555298006,0.0012833283141587986
0.012092208862304688,0.004328666936822017,0.2511583805084229,0.02354665191193476,cosine,5,3,"{'classifier__metric': 'cosine', 'classifier__n_neighbors': 5, 'classifier__p': 3}",0.8449490994518403,0.8480814408770556,0.8557993730407524,0.8550156739811913,0.8487460815047022,0.8505183337711083,0.004200265246589335,43,0.8738491674828599,0.8732615083251714,0.8744614179396788,0.872698785742264,0.8764198981590285,0.8741381555298006,0.0012833283141587986
0.006105566024780273,0.007481519143337839,0.24063186645507811,0.008139509452112515,cosine,7,1,"{'classifier__metric': 'cosine', 'classifier__n_neighbors': 7, 'classifier__p': 1}",0.8496476115896633,0.8613938919342208,0.8589341692789969,0.8581504702194357,0.8487460815047022,0.8553744449054038,0.005164175014285788,25,0.8691478942213516,0.8669931439764936,0.8674108891500196,0.8697610654132393,0.8705444575009792,0.8687714900524167,0.0013622116317338986
0.006623697280883789,0.005860928046984869,0.2554751396179199,0.036348804493940845,cosine,7,2,"{'classifier__metric': 'cosine', 'classifier__n_neighbors': 7, 'classifier__p': 2}",0.8496476115896633,0.8613938919342208,0.8589341692789969,0.8581504702194357,0.8487460815047022,0.8553744449054038,0.005164175014285788,25,0.8691478942213516,0.8669931439764936,0.8674108891500196,0.8697610654132393,0.8705444575009792,0.8687714900524167,0.0013622116317338986
0.007813549041748047,0.002981600060712152,0.25497026443481446,0.023870637484535398,cosine,7,3,"{'classifier__metric': 'cosine', 'classifier__n_neighbors': 7, 'classifier__p': 3}",0.8496476115896633,0.8613938919342208,0.8589341692789969,0.8581504702194357,0.8487460815047022,0.8553744449054038,0.005164175014285788,25,0.8691478942213516,0.8669931439764936,0.8674108891500196,0.8697610654132393,0.8705444575009792,0.8687714900524167,0.0013622116317338986
0.010159111022949219,0.0032503147254234377,0.2440027713775635,0.0189119535188605,cosine,9,1,"{'classifier__metric': 'cosine', 'classifier__n_neighbors': 9, 'classifier__p': 1}",0.8543461237274863,0.860610806577917,0.8620689655172413,0.8589341692789969,0.8495297805642633,0.8570979691331809,0.004588520334280187,7,0.8658178256611165,0.86307541625857,0.8652565609087348,0.864081472777125,0.8689776733254995,0.8654417897862092,0.0020064082913109726
0.008385848999023438,0.0029090719400150693,0.25297889709472654,0.019604784773699205,cosine,9,2,"{'classifier__metric': 'cosine', 'classifier__n_neighbors': 9, 'classifier__p': 2}",0.8543461237274863,0.860610806577917,0.8620689655172413,0.8589341692789969,0.8495297805642633,0.8570979691331809,0.004588520334280187,7,0.8658178256611165,0.86307541625857,0.8652565609087348,0.864081472777125,0.8689776733254995,0.8654417897862092,0.0020064082913109726
0.006548547744750976,0.003751738775027244,0.2463170051574707,0.013724038943985647,cosine,9,3,"{'classifier__metric': 'cosine', 'classifier__n_neighbors': 9, 'classifier__p': 3}",0.8543461237274863,0.860610806577917,0.8620689655172413,0.8589341692789969,0.8495297805642633,0.8570979691331809,0.004588520334280187,7,0.8658178256611165,0.86307541625857,0.8652565609087348,0.864081472777125,0.8689776733254995,0.8654417897862092,0.0020064082913109726
