mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,param_classifier__solver,param_classifier__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.21160526275634767,0.022154157317389615,0.0007798671722412109,0.0015597343444824219,0.1,l2,,,"{'classifier__C': 0.1, 'classifier__penalty': 'l2'}",0.8629600626468285,0.8527799530148786,0.8479623824451411,0.8589341692789969,0.8440438871473355,0.853336090906636,0.00692084382437961,9,0.8650342801175318,0.8658178256611165,0.8662358010184097,0.8650607128867999,0.8656482569526048,0.8655593753272927,0.00045970369649307437
0.531292200088501,0.031232631235702992,0.003123188018798828,0.006246376037597656,1,l2,,,"{'classifier__C': 1, 'classifier__penalty': 'l2'}",0.8692247454972593,0.860610806577917,0.8652037617554859,0.8683385579937304,0.8581504702194357,0.8643056684087658,0.004308284070612706,1,0.9057786483839373,0.9040156709108716,0.9046220133176655,0.9061887974931453,0.9061887974931453,0.9053587855197531,0.0008832796507369124
0.6039548397064209,0.033009028464157535,0.0031261444091796875,0.006252288818359375,10,l2,,,"{'classifier__C': 10, 'classifier__penalty': 'l2'}",0.845732184808144,0.855912294440094,0.8495297805642633,0.8557993730407524,0.8409090909090909,0.849576544752469,0.005809842724336307,14,0.929285014691479,0.929285014691479,0.9296905601253427,0.9296905601253427,0.9324324324324325,0.9300767164132152,0.0011917394474400898
0.018730306625366212,0.0062102556510097145,0.0031244754791259766,0.006248950958251953,0.1,l1,liblinear,,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.8629600626468285,0.8496476115896633,0.8385579937304075,0.8526645768025078,0.8338557993730408,0.8475372088284896,0.01035775449141827,15,0.8472086190009794,0.8481880509304603,0.8486094790442616,0.8505679592636114,0.8501762632197415,0.8489500742918109,0.0012530317094806096
0.023114109039306642,0.009207432376011715,0.006653261184692383,0.007365562614558373,1,l1,liblinear,,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.8668754894283477,0.8566953797963978,0.8636363636363636,0.8691222570532915,0.85423197492163,0.8621122929672062,0.005754872530642766,5,0.8809010773751225,0.8828599412340842,0.881316098707403,0.8811202506854681,0.8830787309048178,0.881855219781379,0.0009217009821488385
0.05756797790527344,0.006421344824723815,0.0,0.0,10,l1,liblinear,,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.8496476115896633,0.8504306969459671,0.853448275862069,0.8557993730407524,0.8385579937304075,0.8495767902337719,0.005930547807411675,13,0.9290891283055828,0.9285014691478942,0.9292988640814728,0.9292988640814728,0.9318448883666275,0.92960664279661,0.0011565836544690468
0.5449056148529052,0.06138493703401925,0.0,0.0,0.1,elasticnet,saga,0.4,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.8645262333594361,0.8543461237274863,0.841692789968652,0.8557993730407524,0.8401253918495298,0.8512979823891713,0.009182884165124649,10,0.8540646425073457,0.8536728697355533,0.8533098315707012,0.8531139835487661,0.854680767724246,0.8537684190173224,0.000559972573081274
0.4465826988220215,0.04416705398214483,0.0031302928924560546,0.006260585784912109,0.1,elasticnet,saga,0.5,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.8645262333594361,0.8527799530148786,0.841692789968652,0.8550156739811913,0.8393416927899686,0.8506712686228253,0.009211436621197723,11,0.8526934378060724,0.8528893241919686,0.8519388954171563,0.8525264394829613,0.8531139835487661,0.852632416089385,0.0003984556700394745
0.4832001209259033,0.052326862906989964,0.0,0.0,0.1,elasticnet,saga,0.6,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.6, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.8645262333594361,0.851213782302271,0.8409090909090909,0.85423197492163,0.8377742946708464,0.8497310752326548,0.00961400261149763,12,0.8519098922624878,0.8521057786483839,0.8509596553074814,0.8517430473952213,0.8523305914610263,0.8518097930149203,0.00046819813656299254
3.896498441696167,0.17890391873668898,0.003125,0.00625,1,elasticnet,saga,0.4,"{'classifier__C': 1, 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}",0.8660924040720438,0.8574784651527017,0.8652037617554859,0.8699059561128527,0.8589341692789969,0.8635229512744163,0.0046424712168649535,2,0.8928501469147895,0.894613124387855,0.8926752839796318,0.8930669800235017,0.8954171562867215,0.8937245383185,0.0010910929103275862
