mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__kernel,param_classifier__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.1026296615600586,0.05103076482475873,0.17980599403381348,0.013847688223048651,0.1,rbf,,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf'}",0.8347689898198903,0.8261550509005482,0.8268025078369906,0.8283699059561128,0.8221003134796239,0.8276393535986332,0.004121889133948105,17,0.8272282076395691,0.8293829578844271,0.8296122209165687,0.8282412847630239,0.8309831570701136,0.8290895656547406,0.0012750819662614887
0.968779182434082,0.03426884435128553,0.18125157356262206,0.02120108154763709,0.01,rbf,,"{'classifier__C': 0.01, 'classifier__kernel': 'rbf'}",0.8018794048551292,0.8010963194988254,0.8017241379310345,0.8017241379310345,0.8017241379310345,0.8016296276294117,0.0002733506231838677,30,0.8015670910871694,0.8017629774730656,0.8016059537798669,0.8016059537798669,0.8016059537798669,0.8016295859799671,6.83730132458246e-05
1.1478866577148437,0.07787261446366735,0.18750238418579102,0.026145996614622483,1,rbf,,"{'classifier__C': 1, 'classifier__kernel': 'rbf'}",0.8480814408770556,0.8488645262333594,0.8495297805642633,0.853448275862069,0.8369905956112853,0.8473829238296066,0.005515089240665759,4,0.9124387855044075,0.9106758080313418,0.9128476302389346,0.9114766940853898,0.9114766940853898,0.9117831223890926,0.000771623325290379
1.2410629749298097,0.043487306260229265,0.17749805450439454,0.006936589910131356,10,rbf,,"{'classifier__C': 10, 'classifier__kernel': 'rbf'}",0.8433829287392326,0.8504306969459671,0.8424764890282131,0.8487460815047022,0.8362068965517241,0.8442486185539678,0.00503992898582532,9,0.9449559255631733,0.9437806072477963,0.9426165295730513,0.9432040736388563,0.945554249902076,0.9440222771849907,0.0010883590813606174
1.3694599628448487,0.052470705984007694,0.18471927642822267,0.031768428690428986,100,rbf,,"{'classifier__C': 100, 'classifier__kernel': 'rbf'}",0.8418167580266249,0.8472983555207517,0.8440438871473355,0.8479623824451411,0.835423197492163,0.8433089161264032,0.004528170757282803,10,0.9449559255631733,0.9441723800195886,0.9426165295730513,0.9433999216607912,0.945554249902076,0.9441398013437361,0.001052194247129494
0.9037021160125732,0.05474567945376656,0.13927597999572755,0.01991096577545061,0.1,poly,2,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.826938136256852,0.8292873923257635,0.822884012539185,0.8299373040752351,0.8236677115987461,0.8265429113591563,0.0028588317419480152,19,0.8442703232125367,0.8552399608227228,0.854876615746181,0.8515471993732864,0.8558558558558559,0.8523579910021166,0.004311659367884073
1.0128959655761718,0.06895577852577967,0.13443918228149415,0.0187146987861908,0.1,poly,3,"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.8081440877055599,0.8050117462803446,0.804858934169279,0.8079937304075235,0.8079937304075235,0.8068004457940461,0.0015246077045143354,23,0.843486777668952,0.8448579823702252,0.845280062671367,0.8435174304739522,0.845867606737172,0.8446019719843336,0.0009536318234956233
1.1312314510345458,0.02900541510423248,0.14999699592590332,0.042620520550860026,0.1,poly,4,"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__kernel': 'poly'}",0.8050117462803446,0.8018794048551292,0.8025078369905956,0.8025078369905956,0.804858934169279,0.8033531518571888,0.0013129630996622681,24,0.8489715964740451,0.8509304603330069,0.8517430473952213,0.8497845671758715,0.8505679592636114,0.8503995261283512,0.0009520995595147651
1.0657439708709717,0.03351639707288891,0.14374899864196777,0.020723916105421663,0.1,poly,5,"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__kernel': 'poly'}",0.8034455755677369,0.8003132341425215,0.8025078369905956,0.8017241379310345,0.8025078369905956,0.8020997243244968,0.001046617387075089,27,0.8591576885406464,0.8593535749265426,0.8619271445358402,0.8593811202506855,0.8589894242068156,0.859761790492106,0.001091952083362448
0.9002337455749512,0.03057761907619444,0.12810797691345216,0.011699179510181212,0.01,poly,2,"{'classifier__C': 0.01, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.8018794048551292,0.8026624902114331,0.8017241379310345,0.8025078369905956,0.8017241379310345,0.8020996015838454,0.00040346803166883165,29,0.8052889324191969,0.8052889324191969,0.8055229142185664,0.8057187622405013,0.8059146102624364,0.8055468303119795,0.00024430198760177916
0.959898042678833,0.03498761990115546,0.14695043563842775,0.015904404759613675,0.01,poly,3,"{'classifier__C': 0.01, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.8010963194988254,0.8026624902114331,0.8017241379310345,0.8032915360501567,0.8017241379310345,0.8020997243244968,0.0007779552885620438,27,0.8135161606268364,0.8139079333986288,0.8149236192714454,0.8133568350959656,0.8143360752056404,0.8140081247197033,0.0005695484068932747
1.1377926349639893,0.018274299502184465,0.15316309928894042,0.022985682499254784,0.01,poly,4,"{'classifier__C': 0.01, 'classifier__degree': 4, 'classifier__kernel': 'poly'}",0.8018794048551292,0.8026624902114331,0.8017241379310345,0.8032915360501567,0.8017241379310345,0.8022563413957577,0.0006237222209218697,25,0.8246816846229187,0.8246816846229187,0.8266745005875441,0.8253035644339992,0.8253035644339992,0.825328999740276,0.0007279698018363942
